id,title,artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3Hz3tTQwOdM6XkA0ALB2G9,Feel Special,TWICE,0.708,0.959,1,-1.338,1,0.0296,0.00188,0.107,0.644,128.981,206867,4
2qQpFbqqkLOGySgNK8wBXt,FANCY,TWICE,0.697,0.874,5,-2.15,0,0.0122,0.0,0.627,0.775,132.018,213880,4
2bZIDMpzVooosmPHn0tHnd,STEREOTYPE,STAYC,0.605,0.805,6,-3.212,1,0.313,0.0,0.659,0.738,148.298,191696,4
7B9W7Qsy5M2kyUNjQYIEG8,DM,fromis_9,0.649,0.898,11,-3.291,0,0.0213,0.0,0.0576,0.663,122.028,204293,4
0lML1OdwDWQIyGF3i9vk2y,Love In Space,Cherry Bullet,0.662,0.942,2,-2.557,1,0.0523,7.2e-05,0.0937,0.578,155.998,216973,4
3d3ELsqKlQ7WA0a10Isu3l,LOVE SCENARIO,iKON,0.806,0.707,7,-4.623,1,0.331,0.0,0.294,0.746,118.009,209648,4
54s6sdPuMjVtdB5d5KFzTC,Save Me,BTS,0.614,0.823,1,-3.48,1,0.0269,0.0,0.0783,0.539,139.948,196506,4
5BXr7hYZQOeRttkeWYTq5S,ASAP,STAYC,0.764,0.802,0,-4.217,1,0.102,0.0,0.189,0.323,132.02,194080,4
1HQHuPpr2s2z3VIBTLtUmv,Like,BTS,0.582,0.726,0,-4.174,0,0.271,0.0,0.227,0.768,100.45,231883,4
6z1kLsntE7FuzKZHZWrXYN,instagram,DEAN,0.463,0.566,8,-6.195,1,0.196,0.0,0.284,0.219,93.921,255729,4
64P4md3mdMM8Dog2aThmzj,Troll (Feat. DEAN),DEAN,0.695,0.677,9,-4.186,1,0.394,0.0,0.274,0.663,80.956,189920,4
2jiI8bNSDu7UxTtDCOqh3L,21,DEAN,0.686,0.73,6,-5.673,0,0.18,0.0,0.341,0.576,109.93,207130,4
5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,Red Velvet,0.714,0.736,2,-3.801,1,0.191,0.0,0.0553,0.814,149.985,210818,4
285Bh5EkbxGGE76ge8JDbH,Lucid Dream,aespa,0.7,0.753,11,-3.841,0,0.0539,1.72e-05,0.072,0.146,97.998,210560,4
4SFknyjLcyTLJFPKD2m96o,How You Like That,BLACKPINK,0.812,0.761,11,-5.222,1,0.0465,0.000135,0.0601,0.344,130.032,182956,4
0vwVGoBPYRRBnw2z8Nyssi,RUN (with GRAY),Lee Jin Ah,0.762,0.677,4,-6.714,0,0.188,4.76e-05,0.073,0.579,137.023,226841,4
