danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,audio_features,3Hz3tTQwOdM6XkA0ALB2G9,spotify:track:3Hz3tTQwOdM6XkA0ALB2G9,https://api.spotify.com/v1/tracks/3Hz3tTQwOdM6XkA0ALB2G9,https://api.spotify.com/v1/audio-analysis/3Hz3tTQwOdM6XkA0ALB2G9,206867,4,Feel Special,TWICE
0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,audio_features,2qQpFbqqkLOGySgNK8wBXt,spotify:track:2qQpFbqqkLOGySgNK8wBXt,https://api.spotify.com/v1/tracks/2qQpFbqqkLOGySgNK8wBXt,https://api.spotify.com/v1/audio-analysis/2qQpFbqqkLOGySgNK8wBXt,213880,4,FANCY,TWICE
0.605,0.805,6,-3.212,1,0.0641,0.313,0,0.659,0.738,148.298,audio_features,2bZIDMpzVooosmPHn0tHnd,spotify:track:2bZIDMpzVooosmPHn0tHnd,https://api.spotify.com/v1/tracks/2bZIDMpzVooosmPHn0tHnd,https://api.spotify.com/v1/audio-analysis/2bZIDMpzVooosmPHn0tHnd,191696,4,STEREOTYPE,STAYC
0.649,0.898,11,-3.291,0,0.11,0.0213,0,0.0576,0.663,122.028,audio_features,7B9W7Qsy5M2kyUNjQYIEG8,spotify:track:7B9W7Qsy5M2kyUNjQYIEG8,https://api.spotify.com/v1/tracks/7B9W7Qsy5M2kyUNjQYIEG8,https://api.spotify.com/v1/audio-analysis/7B9W7Qsy5M2kyUNjQYIEG8,204293,4,DM,fromis_9
0.662,0.942,2,-2.557,1,0.0816,0.0523,7.2e-05,0.0937,0.578,155.998,audio_features,0lML1OdwDWQIyGF3i9vk2y,spotify:track:0lML1OdwDWQIyGF3i9vk2y,https://api.spotify.com/v1/tracks/0lML1OdwDWQIyGF3i9vk2y,https://api.spotify.com/v1/audio-analysis/0lML1OdwDWQIyGF3i9vk2y,216973,4,Love In Space,Cherry Bullet
0.806,0.707,7,-4.623,1,0.0307,0.331,0,0.294,0.746,118.009,audio_features,3d3ELsqKlQ7WA0a10Isu3l,spotify:track:3d3ELsqKlQ7WA0a10Isu3l,https://api.spotify.com/v1/tracks/3d3ELsqKlQ7WA0a10Isu3l,https://api.spotify.com/v1/audio-analysis/3d3ELsqKlQ7WA0a10Isu3l,209648,4,LOVE SCENARIO,iKON
0.614,0.823,1,-3.48,1,0.062,0.0269,0,0.0783,0.539,139.948,audio_features,54s6sdPuMjVtdB5d5KFzTC,spotify:track:54s6sdPuMjVtdB5d5KFzTC,https://api.spotify.com/v1/tracks/54s6sdPuMjVtdB5d5KFzTC,https://api.spotify.com/v1/audio-analysis/54s6sdPuMjVtdB5d5KFzTC,196506,4,Save Me,BTS
0.764,0.802,0,-4.217,1,0.0351,0.102,0,0.189,0.323,132.02,audio_features,5BXr7hYZQOeRttkeWYTq5S,spotify:track:5BXr7hYZQOeRttkeWYTq5S,https://api.spotify.com/v1/tracks/5BXr7hYZQOeRttkeWYTq5S,https://api.spotify.com/v1/audio-analysis/5BXr7hYZQOeRttkeWYTq5S,194080,4,ASAP,STAYC
0.582,0.726,0,-4.174,0,0.116,0.271,0,0.227,0.768,100.45,audio_features,1HQHuPpr2s2z3VIBTLtUmv,spotify:track:1HQHuPpr2s2z3VIBTLtUmv,https://api.spotify.com/v1/tracks/1HQHuPpr2s2z3VIBTLtUmv,https://api.spotify.com/v1/audio-analysis/1HQHuPpr2s2z3VIBTLtUmv,231883,4,Like,BTS
0.463,0.566,8,-6.195,1,0.145,0.196,0,0.284,0.219,93.921,audio_features,6z1kLsntE7FuzKZHZWrXYN,spotify:track:6z1kLsntE7FuzKZHZWrXYN,https://api.spotify.com/v1/tracks/6z1kLsntE7FuzKZHZWrXYN,https://api.spotify.com/v1/audio-analysis/6z1kLsntE7FuzKZHZWrXYN,255729,4,instagram,DEAN
0.695,0.677,9,-4.186,1,0.212,0.394,0,0.274,0.663,80.956,audio_features,64P4md3mdMM8Dog2aThmzj,spotify:track:64P4md3mdMM8Dog2aThmzj,https://api.spotify.com/v1/tracks/64P4md3mdMM8Dog2aThmzj,https://api.spotify.com/v1/audio-analysis/64P4md3mdMM8Dog2aThmzj,189920,4,Troll (Feat. DEAN),IU
0.686,0.73,6,-5.673,0,0.153,0.18,0,0.341,0.576,109.93,audio_features,2jiI8bNSDu7UxTtDCOqh3L,spotify:track:2jiI8bNSDu7UxTtDCOqh3L,https://api.spotify.com/v1/tracks/2jiI8bNSDu7UxTtDCOqh3L,https://api.spotify.com/v1/audio-analysis/2jiI8bNSDu7UxTtDCOqh3L,207130,4,21,DEAN
0.714,0.736,2,-3.801,1,0.0457,0.191,0,0.0553,0.814,149.985,audio_features,5GKwq4sO5ZHKuWaDmdwMQc,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,https://api.spotify.com/v1/tracks/5GKwq4sO5ZHKuWaDmdwMQc,https://api.spotify.com/v1/audio-analysis/5GKwq4sO5ZHKuWaDmdwMQc,210818,4,Bad Boy,Red Velvet
0.7,0.753,11,-3.841,0,0.0441,0.0539,1.72e-05,0.072,0.146,97.998,audio_features,285Bh5EkbxGGE76ge8JDbH,spotify:track:285Bh5EkbxGGE76ge8JDbH,https://api.spotify.com/v1/tracks/285Bh5EkbxGGE76ge8JDbH,https://api.spotify.com/v1/audio-analysis/285Bh5EkbxGGE76ge8JDbH,210560,4,Lucid Dream,aespa
